n, statements
540, 143346
541, 143921
542, 144460
543, 145127
544, 145296
545, 145977
546, 146226
547, 146857
548, 147594
549, 147977
550, 148026
551, 148407
552, 149262
553, 149545
554, 149804
555, 150861
556, 151506
557, 151803
558, 152580
559, 153429
560, 154004
561, 154369
562, 155408
563, 155555
564, 156048
565, 157021
566, 158068
567, 158251
568, 158450
569, 158729
570, 159866
571, 160239
572, 161186
573, 161759
574, 162344
575, 163441
576, 164572
577, 164797
578, 165082
579, 165445
580, 165670
581, 166269
582, 166564
583, 167223
584, 167914
585, 168251
586, 168386
587, 168449
588, 168606
589, 168821
590, 169312
591, 169977
592, 170380
593, 171423
594, 171680
595, 172055
596, 172434
597, 172913
598, 173554
599, 173895
600, 174350
601, 175427
602, 175782
603, 176511
604, 177340
605, 178421
606, 179204
607, 179403
608, 179984
609, 180765
610, 181424
611, 182511
612, 182950
613, 183889
614, 184672
615, 185465
616, 185854
617, 186077
618, 187074
619, 188289
620, 189166
621, 189261
622, 190004
623, 190859
624, 191036
625, 191375
626, 192152
627, 192875
628, 193654
629, 194387
630, 195564
631, 195675
632, 196732
633, 197425
634, 198370
635, 199425
636, 200208
637, 200999
638, 202060
639, 203331
640, 203764
641, 204447
642, 205676
643, 206473
644, 206920
645, 207077
646, 207570
647, 207699
648, 208510
649, 208683
650, 209678
651, 210427
652, 210756
653, 211423
654, 212332
655, 213151
656, 213188
657, 214297
658, 215308
659, 216395
660, 217074
661, 217941
662, 218578
663, 219643
664, 220692
665, 221963
666, 222890
667, 223535
668, 223986
669, 224609
670, 224702
671, 224735
672, 225912
673, 226325
674, 227552
675, 228757
676, 229942
677, 230415
678, 231538
679, 232241
680, 233378
681, 233731
682, 234440
683, 234633
684, 235040
685, 236143
686, 236808
687, 236917
688, 237866
689, 237917
690, 238782
691, 238905
692, 239272
693, 240007
694, 240586
695, 241087
696, 241952
697, 243067
698, 244104
699, 245067
700, 245728
701, 245847
702, 247188
703, 247997
704, 248442
705, 249609
706, 250798
707, 251647
708, 251784
709, 252739
710, 253646
711, 254525
712, 255150
713, 255285
714, 255616
715, 256161
716, 257374
717, 257651
718, 258390
719, 258499
720, 258640
721, 259811
722, 260872
723, 261441
724, 262436
725, 263883
726, 264014
727, 264037
728, 264206
729, 265387
730, 266042
731, 267487
732, 267906
733, 268461
734, 269918
735, 270351
736, 271774
737, 272339
738, 273284
739, 273463
740, 274870
741, 276325
742, 277322
743, 277733
744, 278076
745, 278199
746, 278690
747, 279041
748, 280126
749, 280149
750, 280238
751, 280261
752, 280846
753, 281767
754, 283086
755, 283847
756, 284570
757, 284989
758, 285606
759, 286929
760, 287572
761, 287767
762, 288962
763, 289321
764, 289664
765, 290243
766, 291362
767, 291779
768, 292024
769, 293123
770, 294476
771, 295039
772, 295450
773, 296781
774, 297374
775, 297453
776, 298388
777, 299685
778, 299700
779, 300981
780, 301232
781, 302107
782, 302884
783, 303185
784, 303196
785, 303803
786, 305020
787, 305511
788, 305996
789, 307461
790, 308322
791, 309375
792, 310728
793, 311247
794, 311490
795, 312643
796, 313676
797, 315235
798, 316602
799, 318077
800, 319170
801, 320391
802, 321982
803, 322157
804, 322808
805, 324353
806, 325772
807, 326937
808, 327390
809, 328881
810, 329558
811, 329683
812, 329856
813, 330115
814, 331688
815, 332829
816, 333552
817, 334891
818, 335416
819, 336077
820, 337598
821, 337693
822, 338300
823, 339765
824, 340274
825, 341119
826, 342688
827, 343469
828, 344106
829, 344305
830, 344680
831, 346315
832, 347766
833, 347839
834, 348230
835, 348587
836, 349128
837, 349649
838, 350708
839, 351535
840, 351648
841, 352491
842, 353236
843, 354891
844, 355434
845, 356939
846, 358090
847, 358643
848, 359516
849, 359809
850, 360448
851, 361507
852, 361864
853, 363207
854, 363878
855, 363967
856, 364724
857, 365835
858, 366686
859, 367877
860, 369440
861, 369465
862, 369556
863, 371025
864, 372220
865, 372929
866, 374324
867, 375023
868, 375542
869, 377257
870, 378120
871, 378807
872, 380166
873, 381799
874, 382416
875, 383109
876, 383486
877, 384213
878, 385106
879, 386637
880, 387376
881, 388419
882, 390004
883, 391047
884, 392566
885, 393545
886, 393616
887, 393845
888, 395072
889, 396677
890, 397678
891, 397857
892, 399506
893, 400101
894, 401060
895, 401379
896, 402198
897, 402957
898, 404682
899, 406447
900, 406456
901, 407019
902, 407764
903, 407907
904, 409024
905, 410457
906, 411134
907, 411153
908, 412650
909, 413775
910, 414788
911, 415845
912, 417094
913, 417423
914, 418594
915, 419383
916, 420608
917, 420805
918, 422338
919, 423799
920, 424968
921, 426053
922, 427744
923, 429295
924, 429398
925, 429943
926, 431592
927, 432213
928, 433150
929, 434131
930, 435476
931, 435617
932, 436298
933, 437023
934, 438208
935, 439303
936, 439356
937, 440099
938, 440184
939, 440261
940, 440958
941, 441157
942, 441768
943, 443041
944, 443344
945, 444753
946, 446214
947, 446657
948, 447416
949, 448633
950, 449484
951, 450349
952, 450832
953, 451015
954, 452046
955, 453007
956, 454096
957, 455497
958, 455694
959, 457323
960, 457668
961, 459229
962, 460870
963, 462401
964, 463000
965, 464535
966, 465952
967, 466595
968, 466958
969, 468137
970, 468190
971, 468829
972, 469742
973, 470885
974, 472540
975, 474281
976, 474782
977, 474819
978, 475716
979, 475735
980, 476302
981, 477767
982, 479136
983, 480697
984, 482294
985, 484241
986, 485794
987, 486351
988, 486558
989, 487075
990, 487220
991, 488263
992, 489820
993, 491781
994, 492364
995, 493107
996, 493712
997, 494767
998, 496040
999, 497631
1000, 497750
1001, 499311
1002, 499498
1003, 499595
1004, 501392
1005, 503083
1006, 503546
1007, 504941
1008, 506692
1009, 508117
1010, 508214
1011, 509539
1012, 510718
1013, 512285
1014, 512642
1015, 513889
1016, 515756
1017, 517591
1018, 519146
1019, 520895
1020, 521754
1021, 523395
1022, 524488
1023, 524889
1024, 525374
1025, 525937
1026, 526992
1027, 527803
1028, 527964
1029, 529679
1030, 529816
1031, 531505
1032, 532610
1033, 533435
1034, 535344
1035, 536623
1036, 537420
1037, 537917
1038, 538286
1039, 539403
1040, 539666
1041, 541415
1042, 541906
1043, 542469
1044, 543120
1045, 543663
1046, 544664
1047, 544967
1048, 546260
1049, 547755
1050, 547966
1051, 549845
1052, 551630
1053, 552735
1054, 553900
1055, 554669
1056, 555748
1057, 557299
1058, 558304
1059, 559799
1060, 561552
1061, 562351
1062, 563310
1063, 564135
1064, 566058
1065, 566545
1066, 566962
1067, 568395
1068, 569932
1069, 571303
1070, 572318
1071, 573231
1072, 573572
1073, 574217
1074, 576314
1075, 578255
1076, 579950
1077, 581487
1078, 582878
1079, 584749
1080, 585612
1081, 585659
1082, 586876
1083, 589025
1084, 590302
1085, 591511
1086, 593262
1087, 594699
1088, 595126
1089, 596687
1090, 596950
1091, 597301
1092, 598686
1093, 599403
1094, 601350
1095, 602229
1096, 604098
1097, 604513
1098, 606300
1099, 608199
1100, 609072
1101, 610209
1102, 612404
1103, 613631
1104, 613848
1105, 614803
1106, 616154
1107, 616721
1108, 617790
1109, 619021
1110, 620892
1111, 623025
1112, 624634
1113, 626783
1114, 628882
1115, 630685
1116, 632610
1117, 634827
1118, 635072
1119, 635469
1120, 635908
1121, 636753
1122, 637312
1123, 637933
1124, 639534
1125, 640179
1126, 641352
1127, 643385
1128, 644802
1129, 646933
1130, 647358
1131, 647429
1132, 649194
1133, 649867
1134, 651190
1135, 652423
1136, 653044
1137, 654701
1138, 654850
1139, 655757
1140, 656466
1141, 658559
1142, 660522
1143, 661521
1144, 661622
1145, 662723
1146, 663548
1147, 664083
1148, 666360
1149, 667785
1150, 667844
1151, 668021
1152, 670242
1153, 672029
1154, 674088
1155, 674337
1156, 674672
1157, 675921
1158, 678134
1159, 680157
1160, 681008
1161, 682605
1162, 684638
1163, 686773
1164, 687634
1165, 687983
1166, 690088
1167, 690343
1168, 691932
1169, 693747
1170, 694362
1171, 695343
1172, 696434
1173, 696837
1174, 697628
1175, 698087
1176, 698660
1177, 700413
1178, 702644
1179, 703307
1180, 704768
1181, 705637
1182, 706756
1183, 708641
1184, 708932
1185, 709255
1186, 709268
1187, 710545
1188, 711824
1189, 712477
1190, 712590
1191, 714879
1192, 716080
1193, 717861
1194, 717896
1195, 718335
1196, 718698
1197, 720021
1198, 720886
1199, 720909
1200, 723168
1201, 725029
1202, 726666
1203, 728545
1204, 729448
1205, 729459
1206, 730094
1207, 731203
1208, 732918
1209, 733115
1210, 734276
1211, 734445
1212, 736252
1213, 738147
1214, 739714
1215, 741257
1216, 742776
1217, 742891
1218, 744550
1219, 746567
1220, 748546
1221, 750427
1222, 750836
1223, 752543
1224, 754794
1225, 755877
1226, 757378
1227, 758229
1228, 759196
1229, 760897
1230, 762926
1231, 764739
1232, 765518
1233, 766153
1234, 766224
1235, 768025
1236, 769258
1237, 770263
1238, 771104
1239, 772163
1240, 774062
1241, 774707
1242, 776130
1243, 776653
1244, 778196
1245, 778999
1246, 780848
1247, 781961
1248, 782412
1249, 784671
1250, 785104
1251, 786943
1252, 787394
1253, 789557
1254, 792056
1255, 792353
1256, 794022
1257, 796471
1258, 798722
1259, 800741
1260, 801674
1261, 803507
1262, 803896
1263, 806105
1264, 806676
1265, 807691
1266, 809736
1267, 811849
1268, 812580
1269, 814289
1270, 815960
1271, 816333
1272, 817678
1273, 818145
1274, 818736
1275, 820305
1276, 820672
1277, 823099
1278, 824780
1279, 827165
1280, 829156
1281, 830913
1282, 832420
1283, 833453
1284, 834856
1285, 837037
1286, 837216
1287, 838575
1288, 839888
1289, 840709
1290, 842508
1291, 843571
1292, 844376
1293, 844767
1294, 845974
1295, 847633
1296, 849004
1297, 850925
1298, 851578
1299, 854127
1300, 855044
1301, 855579
1302, 857400
1303, 859827
1304, 860766
1305, 861239
1306, 862614
1307, 864943
1308, 865662
1309, 866247
1310, 866300
1311, 867755
1312, 870068
1313, 871355
1314, 872722
1315, 873443
1316, 874972
1317, 875683
1318, 878106
1319, 880379
1320, 880406
1321, 881827
1322, 883236
1323, 885475
1324, 886092
1325, 887443
1326, 887578
1327, 889129
1328, 889846
1329, 891775
1330, 893958
1331, 894235
1332, 895458
1333, 897043
1334, 897904
1335, 898871
1336, 899844
1337, 901327
1338, 901838
1339, 902437
1340, 904334
1341, 905933
1342, 906780
1343, 907325
1344, 907772
1345, 908633
1346, 908972
1347, 911669
1348, 913060
