n, statements
487, 2431727
488, 2440161
489, 2445687
490, 2450807
491, 2459192
492, 2463095
493, 2465604
494, 2466417
495, 2473619
496, 2476548
497, 2477462
498, 2478571
499, 2486782
500, 2496524
501, 2501491
502, 2505806
503, 2512048
504, 2513475
505, 2519912
506, 2524554
507, 2533335
508, 2533473
509, 2541412
510, 2545709
511, 2553469
512, 2558168
513, 2565100
514, 2573605
515, 2576471
516, 2583736
517, 2593604
518, 2598898
519, 2602569
520, 2603021
521, 2606243
522, 2612348
523, 2616152
524, 2622291
525, 2630842
526, 2639847
527, 2647148
528, 2653537
529, 2659950
530, 2669757
531, 2679418
532, 2686439
533, 2695376
534, 2700516
535, 2708810
536, 2711242
537, 2718633
538, 2720896
539, 2723021
540, 2730217
541, 2734499
542, 2738955
543, 2746518
544, 2753780
545, 2757190
546, 2762411
547, 2769017
548, 2773465
549, 2775293
550, 2784429
551, 2790493
552, 2797446
553, 2800518
554, 2800785
555, 2806071
556, 2815935
557, 2820357
558, 2826101
559, 2828280
560, 2832578
561, 2832982
562, 2841089
563, 2847254
564, 2849935
565, 2856353
566, 2861664
567, 2869822
568, 2879573
569, 2884729
570, 2889292
571, 2896506
572, 2902921
573, 2910876
574, 2919431
575, 2923223
576, 2925540
577, 2932401
578, 2938064
579, 2946112
580, 2946750
581, 2952676
582, 2956154
583, 2963506
584, 2966230
585, 2968806
586, 2969192
587, 2977653
588, 2981616
589, 2988871
590, 2995784
591, 3005525
592, 3011835
593, 3012828
594, 3019992
595, 3026276
596, 3031928
597, 3039197
598, 3039839
599, 3049318
600, 3057888
601, 3066804
602, 3073017
603, 3081221
604, 3088410
605, 3092893
606, 3092990
607, 3099783
608, 3107677
609, 3116177
610, 3122584
611, 3131099
612, 3132305
613, 3133781
614, 3137630
615, 3145402
616, 3146442
617, 3152254
618, 3156350
619, 3162198
620, 3171157
621, 3172074
622, 3180268
623, 3180377
624, 3188989
625, 3195012
626, 3196632
627, 3203037
628, 3210310
629, 3218011
630, 3226538
631, 3230504
632, 3236706
633, 3238695
634, 3246770
635, 3249367
636, 3257113
637, 3266998
638, 3269105
639, 3277235
640, 3281923
641, 3291194
642, 3300249
643, 3309232
644, 3314626
645, 3322944
646, 3328326
647, 3329968
648, 3334757
649, 3342428
650, 3344135
651, 3345835
652, 3348782
653, 3351163
654, 3361044
655, 3366777
656, 3374558
657, 3375971
658, 3378640
659, 3379323
660, 3386085
661, 3388270
662, 3397816
663, 3399706
664, 3408126
665, 3409961
666, 3414491
667, 3422872
668, 3432547
669, 3439275
670, 3446085
671, 3451063
672, 3460033
673, 3465087
674, 3471781
675, 3475856
676, 3482840
677, 3487152
678, 3489943
679, 3495773
680, 3495807
681, 3504029
682, 3513103
683, 3516008
684, 3518773
685, 3525653
686, 3532509
687, 3541083
688, 3544806
689, 3552288
690, 3554196
691, 3563927
692, 3571914
693, 3573179
694, 3578476
695, 3583441
696, 3585309
697, 3589199
698, 3595750
699, 3596925
700, 3606767
701, 3616577
702, 3618864
703, 3625086
704, 3629502
705, 3638966
706, 3642029
707, 3648641
708, 3651681
709, 3655553
710, 3657072
711, 3658332
712, 3660356
713, 3667494
714, 3668900
715, 3669383
716, 3678439
717, 3679179
718, 3679641
719, 3684615
720, 3690620
721, 3694029
722, 3699069
723, 3702726
724, 3704760
725, 3705878
726, 3715473
727, 3724104
728, 3728601
729, 3736085
730, 3744831
731, 3750539
732, 3755125
733, 3757378
734, 3766293
735, 3774169
736, 3779974
737, 3784493
738, 3790649
739, 3799637
740, 3804783
741, 3811863
742, 3815948
743, 3821738
744, 3830616
745, 3833937
746, 3843697
747, 3846397
748, 3848183
749, 3854923
750, 3854985
751, 3856932
752, 3865728
753, 3875018
754, 3879031
755, 3888429
756, 3896404
757, 3903683
758, 3907250
759, 3914352
760, 3924320
761, 3926062
762, 3930668
763, 3937146
764, 3943409
765, 3950125
766, 3956531
767, 3963205
768, 3968355
769, 3973575
770, 3978333
771, 3978604
772, 3988473
773, 3990859
774, 3999098
775, 4001556
776, 4003520
777, 4007768
778, 4011397
779, 4011990
780, 4014290
781, 4022637
782, 4024362
783, 4033246
784, 4035734
785, 4038645
786, 4042859
787, 4051105
788, 4058411
789, 4064988
790, 4068771
791, 4076020
792, 4081026
793, 4084237
794, 4084297
795, 4088693
796, 4089465
797, 4098415
798, 4102423
799, 4108773
800, 4112810
801, 4122242
802, 4127070
803, 4129506
804, 4136355
805, 4144288
806, 4150505
807, 4153972
808, 4159370
809, 4167844
810, 4173944
811, 4174385
812, 4181502
813, 4190823
814, 4191589
815, 4199894
816, 4201705
817, 4204285
818, 4206593
819, 4212907
820, 4217184
821, 4225775
822, 4230451
823, 4240005
824, 4242264
825, 4242462
826, 4247540
827, 4251833
828, 4252715
829, 4253133
830, 4258867
831, 4267255
832, 4272735
833, 4273909
834, 4276936
835, 4286857
836, 4291539
837, 4294052
838, 4297950
839, 4302717
840, 4308626
841, 4312037
842, 4316503
843, 4321772
844, 4331408
845, 4337705
846, 4340801
847, 4350717
848, 4354059
849, 4355040
850, 4355929
851, 4358226
852, 4359793
853, 4367314
854, 4374063
855, 4378832
856, 4383473
857, 4385785
858, 4390262
859, 4398601
860, 4406460
861, 4406554
862, 4413224
863, 4420496
864, 4421749
865, 4431699
866, 4437187
867, 4444367
868, 4446194
869, 4455580
870, 4458146
871, 4462172
872, 4462347
